Entry,Customer Placed Order Time(min),Placed Order with Restaurant Time(min),OPtoORTime(min)Delta,Driver at Restaurant Time(min),DRfmOPTime(min) Delta,DRfmORTime(min) Delta,Delivered to Customer Time(min),OCfmOPTime(min) Delta,OCfmORTime(min) Delta,OCfmDRTime(min) Delta,Driver ID,Restaurant ID,Consumer ID,Delivery Region,Is ASAP,Order total,Amount of discount,Amount of tip,Refunded amount
1,93,127,34,132,39,5,160,67,33,28,7,76,83492,Palo Alto,TRUE,35.8,0,1.37,0
3,84,90,6,109,25,19,147,63,57,38,7,19,33920,Palo Alto,TRUE,176.43,0,22.68,12.68
6,59,73,14,103,44,30,121,62,49,18,7,221,13499,Mountain View,TRUE,33.93,0,1.28,0
8,1116,1132,16,1175,59,43,1187,71,55,12,7,361,43732,Mountain View,TRUE,25.79,0,2.73,0
15,169,169,1,198,29,28,248,79,79,51,24,211,5804,Palo Alto,TRUE,129.94,0,5.42,0
19,75,111,37,0,-75,-111,142,68,31,142,24,12,10756,Palo Alto,TRUE,47.33,0,5,0
32,24,46,22,88,64,43,100,76,54,12,24,216,2079,Mountain View,TRUE,29.87,0,1.09,0
33,41,60,20,105,65,45,123,83,63,18,24,30,12507,Mountain View,TRUE,84.08,0,3,0
37,31,76,46,0,-31,-76,126,95,49,126,24,105,20098,Palo Alto,FALSE,128.09,0,5.33,0
40,176,184,8,215,39,32,239,63,55,23,24,84,97556,Palo Alto,TRUE,203.67,0,26.43,0
42,69,130,61,135,66,5,160,92,31,26,24,264,2508,Palo Alto,TRUE,54.88,0,4.49,0
52,146,154,8,0,-146,-154,208,62,53,208,24,10,193420,Palo Alto,TRUE,62.98,6,0,0
53,44,75,31,92,48,16,110,66,35,18,24,5,194777,Palo Alto,TRUE,69.56,6,3.48,0
66,188,196,8,0,-188,-196,252,64,56,252,29,211,22183,Palo Alto,TRUE,35.63,0,1.36,0
72,108,109,1,162,54,53,173,65,64,11,29,107,7982,Palo Alto,TRUE,31.45,0,3.15,0
74,125,133,8,154,28,21,188,63,55,35,29,109,1639,Palo Alto,TRUE,167.32,0,7.14,0
77,158,170,12,0,-158,-170,221,63,51,221,29,9,61941,Palo Alto,TRUE,39.17,0,1.96,0
78,171,194,23,219,48,25,235,64,41,16,29,7,12556,Palo Alto,TRUE,42.27,0,3.33,0
87,100,115,15,0,-100,-115,180,81,65,180,29,241,2768,Palo Alto,TRUE,45.12,0,1.79,0
93,50,93,43,0,-50,-93,125,75,32,125,29,324,3191,Palo Alto,FALSE,61.9,0,7.71,0
